0 Alloc   2044 940     # 4 2 +6  6
0 Read    t0 400       # (section)offset size
0 Read    d0 30
1 Alloc   536 2560     # 2 5 +7  15
1 Read   t0 654
0 Read   t400 202
0 Read   d50 8
0 Halt                 #     -6  7
2 Alloc   437 128      # 1 1 +2  9
3 Alloc   3211 2030    # 7 4 +11 20
2 Halt                 #     -2  18
4 Alloc   972 278      # 2 1 +3  21
3 Halt                 #     -11 10
1 Halt                 #     -7  3
5 Alloc   2048 2048    # 4 4 +8  11
4 Halt                 #     -3  8
6 Alloc   100 100      # 1 1 +2  10
7 Alloc   1000 500     # 2 1 +3  13
6 Halt                 #     -2  11
8 Alloc   536 256      # 2 1 +3  14
7 Halt                 #     -3  11
9 Alloc   401 1234     # 1 3 +4  15
8 Read   t401 105
8 Halt                 #     -3  12
10 Alloc  1000 1000    # 2 2 +4  16
9 Read   t200 200
9 Halt                 #     -4  12
10 Read  t500 500
10 Halt                #     -4  8
5 Read   t1500 500
5 Halt                 #     -8  0
